"Source_Key__c","Name","Accent_Color__c","Background_Color__c","Border_Color__c","Button_Gradient_End__c","Button_Gradient_Start__c","Button_Text_Color__c","Card_Background__c","Card_Border_Radius__c","Card_Shadow__c","Hover_Border_Color__c","Muted_Text_Color__c","Primary_Color__c","Primary_Text_Color__c","Secondary_Color__c","Secondary_Text_Color__c"
"theme/dark-blue","Dark Blue","#60a5fa","linear-gradient(315deg, #2b4162 0%, #12100e 74%)","rgba(255,255,255,0.08)","#1d4ed8","#3b82f6","#ffffff","#111","14px","0 10px 30px rgba(0,0,0,0.4)","#3b82f6","#94a3b8","#1d4ed8","#ffffff","#1e40af","#cbd5f5"
"theme/dark-green","Dark Green","#86efac","linear-gradient(315deg, #0f2a1f 0%, #020617 74%)","rgba(34, 197, 94, 0.08)","#166534","#14532d","#e2e8f0","#111","14px","0 10px 30px rgba(0, 0, 0, 0.6)","#166534","#94a3b8","#22c55e","#ffffff","#064e3b","#cbd5f5"
"theme/dark-red","Dark Red","#b91c1c","linear-gradient(315deg, #4a0f0f 0%, #020617 74%)","rgba(239, 68, 68, 0.12)","#991b1b","#7f1d1d","#f9fafb","#111","14px","0 10px 30px rgba(0,0,0,0.6)","#b91c1c","#94a3b8","#991b1b","#ffffff","#450a0a","#cbd5f5"
