"Source_Key__c","Name","Portfolio_Source_Key","Image_URL__c","Display_Order__c"
"cert/salesforce-platform-developer-i","Salesforce Platform Developer I","portfolio/john-carlo-red","/resource/PortfolioAssets/PortfolioAssets/CertificateLogo/platformdeveloper1.png","1"
"cert/salesforce-app-builder","Salesforce App Builder","portfolio/john-carlo-red","/resource/PortfolioAssets/PortfolioAssets/CertificateLogo/platformappbuilder.png","2"
"cert/salesforce-administrator","Salesforce Administrator","portfolio/john-carlo-red","/resource/PortfolioAssets/PortfolioAssets/CertificateLogo/platformadministrator.png","3"
"cert/salesforce-agentforce-specialist","Salesforce Agentforce Specialist","portfolio/john-carlo-red","/resource/PortfolioAssets/PortfolioAssets/CertificateLogo/agentforcespecialist.png","4"
"cert/salesforce-platform-foundations","Salesforce Platform Foundations","portfolio/john-carlo-red","/resource/PortfolioAssets/PortfolioAssets/CertificateLogo/platformfoundations.png","5"
