"Source_Key__c","Name","Portfolio_Source_Key","CompanyName__c","Role__c","Description__c","CompanyLogo__c","ImageURL__c","IsCurrent__c","JobStartDate__c","JobEndDate__c","Tech_Stack__c","WorkLocation__c"
"work/eei-corporation","EEI Corporation","portfolio/john-carlo-red","EEI Corporation","Web Developer Intern","<p><strong style=""font-size: 13px; font-family: sans-serif;"">Internship</strong></p><ul><li><span style=""font-size: 13px; font-family: sans-serif;"">Built and optimized internal portal pages → streamlined employee workflows and reduced manual effort</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Created reusable UI components and assets → improved consistency and user experience</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Maintained and enhanced corporate website → increased performance and maintainability</span></li></ul>","<img src=""/resource/PortfolioAssets/PortfolioAssets/Company/eei.png"" alt=""company"" style=""height:200px; width:200px;"" border=""0""/>","eei.png","False","2017-06-01","2017-12-31","HTML5, CSS, Bootstrap, Javascript","Pasig, Philippines"
"work/accenture-ase","Accenture (ASE)","portfolio/john-carlo-red","Accenture","Associate Salesforce Developer","<h3><strong style=""font-family: sans-serif; font-size: 13px;"">Vaccine Distribution Company</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Designed dynamic Screen Flows → enabled configurable business logic for admins</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Managed deployments using Copado → ensured reliable CI/CD pipeline</span></li></ul><h3><strong style=""font-family: sans-serif; font-size: 13px;"">Telecom Company</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Developed Visualforce solutions for CSV data export → eliminated manual reporting processes</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Investigated and resolved system issues → improved platform stability and reliability</span></li></ul>","<img src=""/resource/PortfolioAssets/PortfolioAssets/Company/accenture_white.png"" alt=""company"" style=""height:200px; width:200px;"" border=""0""/>","accenture_white.png","False","2020-02-14","2021-06-04","Apex, Triggers, Aura, Visualforce, Flow, Approval Process, Sales Cloud","Manila, Philippines"
"work/accenture-se","Accenture (SE)","portfolio/john-carlo-red","Accenture","Salesforce Developer","<h3><strong style=""font-family: sans-serif; font-size: 13px;"">Manufacturing Company</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Developed Einstein Bot integrated with LWC → automated customer support and lead creation</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Logged and tracked conversations → improved visibility and follow-up processes</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Delivered demos and documentation → enabled business users to understand automation flows</span></li></ul><h3><strong style=""font-family: sans-serif; font-size: 13px;"">Financial Institution</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Automated sales workflows using Flows, Apex, and Approval Processes → improved data consistency and reduced manual effort</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Implemented validation rules and triggers → enforced business logic and governance</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Delivered user training and documentation → increased adoption of automated processes</span></li></ul><h3><strong style=""font-family: sans-serif; font-size: 13px;"">Vaccine Distribution Company</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Built custom application using Aura + Apex → improved performance over traditional flows</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Managed deployments using Copado → ensured reliable CI/CD pipeline</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Mentored junior developers → improved team code quality and best practices</span></li></ul>","<img src=""/resource/PortfolioAssets/PortfolioAssets/Company/accenture_white.png"" alt=""company"" style=""height:200px; width:200px;"" border=""0""/>","accenture_white.png","False","2021-06-07","2023-09-08","Apex, Triggers, LWC, Aura, Visualforce, Flow, Approval Process, Einstein Bots, Sales Cloud","Manila, Philippines"
"work/cloudstaff","Cloudstaff","portfolio/john-carlo-red","Cloudstaff","Salesforce Developer","<h3><strong style=""font-size: 13px; font-family: sans-serif;"">Educational Institution</strong></h3><ul><li><span style=""font-size: 13px; font-family: sans-serif;"">Migrated Salesforce Classic and Visualforce solutions to Lightning Experience → improved maintainability and modernized user experience</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Developed Lightning Web Components integrated with Experience Cloud → enhanced UI responsiveness and scalability</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Delivered technical documentation and migration walkthroughs → enabled smooth transition to a modern, scalable architecture</span></li></ul>","<img src=""/resource/PortfolioAssets/PortfolioAssets/Company/cloudstaff_white.png"" alt=""company"" style=""height:200px; width:200px;"" border=""0""/>","cloudstaff_white.png","False","2023-10-09","2024-06-11","Apex, Triggers, LWC, Aura, Visualforce, Flow, Process Builder, Sales Cloud","Angeles, Philippines"
"work/quantrics","Quantrics","portfolio/john-carlo-red","Quantrics","Salesforce Developer","<h3><strong style=""font-size: 13px; font-family: sans-serif;"">Automotive Company</strong></h3><ul><li><span style=""font-size: 13px; font-family: sans-serif;"">Led migration from Visualforce to LWC → improved UI responsiveness and component reusability</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Re-architected Process Builder to Flow → reduced technical debt and improved performance</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Implemented Salesforce CPQ → streamlined product configuration and quoting</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Delivered technical documentation and walkthroughs → ensured smooth transition to modern architecture</span></li></ul>","<img src=""/resource/PortfolioAssets/PortfolioAssets/Company/quantrics.png"" alt=""company"" style=""height:200px; width:200px;"" border=""0""/>","quantrics.png","False","2024-07-15","2024-11-15","Apex, LWC, Visualforce, Flow, Process Builder, Sales Cloud","Taytay, Philippines"
"work/kulturra","Kulturra","portfolio/john-carlo-red","Kulturra","Salesforce Implementation Specialist","<h3><strong style=""font-family: sans-serif; font-size: 13px;"">Agentforce Managed Package</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Led development of the Agentforce managed package → replaced manual customer processes with automation</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Designed reusable topics and actions → enabled scalable deployment across multiple Salesforce orgs</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Built custom Agentforce agents integrated with payment systems → accelerated client onboarding and adoption</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Authored technical documentation → reduced onboarding friction and improved implementation consistency</span></li></ul><h3><strong style=""font-family: sans-serif; font-size: 13px;"">Payment Processing Managed Package</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Implemented and customized managed package across multiple client orgs → improved customer retention and product adoption</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Developed LWC, Apex, and Flow automations → aligned platform behavior with business requirements</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Enhanced REST API integrations → enabled reliable communication with external payment systems</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Refactored Visualforce and Aura components → improved maintainability and system performance</span></li><li><span style=""font-size: 13px; font-family: sans-serif;"">Resolved complex cross-org issues → ensured stability across client environments</span></li></ul><h3><strong style=""font-family: sans-serif; font-size: 13px;"">HVAC Services Company</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Built LWC and Screen Flows integrated with Field Service → streamlined field operations and mobile workflows</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Designed dynamic flow interfaces → enabled creation of multiple related records in a single process</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Delivered walkthroughs and documentation → improved user adoption and operational efficiency</span></li></ul><p><br></p><h3><strong style=""font-family: sans-serif; font-size: 13px;"">Jewelry Buyer &amp; Lending Company</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Automated reminder workflows using Flow → reduced manual follow-ups and improved reliability</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Developed centralized UI using Screen Flows → simplified configuration and record management</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Guided users through new workflows → increased adoption of automation features</span></li></ul><h3><strong style=""font-family: sans-serif; font-size: 13px;"">Law Firm Company</strong></h3><ul><li><span style=""font-family: sans-serif; font-size: 13px;"">Refactored Apex, Flows, and triggers → improved maintainability and long-term scalability</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Replaced legacy Workflow/Process Builder with Flows → enhanced governance and performance</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Designed data migration using Batch Apex → ensured accurate transition between managed packages</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Managed deployments via Change Sets → maintained release consistency across environments</span></li><li><span style=""font-family: sans-serif; font-size: 13px;"">Delivered system walkthroughs → supported smooth transition to updated processes</span></li></ul>","<img src=""/resource/PortfolioAssets/PortfolioAssets/Company/kulturra.png"" alt=""company"" style=""height:200px; width:200px;"" border=""0""/>","kulturra.png","True","2024-11-18",,"Apex, Triggers, Asynchronous Apex, LWC, Aura, Visualforce, Flow, REST API, Agentforce","Torrance, United States"
